County,GEOID10,UniqueID_2cnty,SqMiles,ALAND10,AWATER10,TotPop,PopOver18,MaleOver18,FemOver18,Estimate_MedianIncome_2015,Perc_BachelorsDeg_and_higher,White_and_combination,White_only,MedianAge_Total,MedianAge_Male,MedianAge_Female,Bernie,Hillary,Trump,Kasich,Cruz
Herkimer,36043,Herkimer,1411,3655689412,120400469,64519,50221,24355,25866,46229,22.4,63066,62320,42.1,41.1,43.1,1873,1507,4193,1877,1042
Jefferson,36045,Jefferson,1269,3285632368,1524548726,116229,86596,44198,42398,49505,20.7,105977,103047,32.6,31.2,34.2,2656,2579,5190,2860,1235
Kings,36047,Kings,71,183412016,67602622,2504700,1910322,878643,1031679,48201,32.8,1120592,1072041,34.1,32.4,35.7,123872,183662,15920,4024,4872
Lewis,36049,Lewis,1275,3301404174,39580834,27087,20384,10256,10128,49819,15.2,26686,26465,40.2,39.7,40.7,703,492,1643,898,476
Livingston,36051,Livingston,632,1636257346,22005748,65393,52176,26028,26148,51734,23.6,62245,61363,39.8,38.9,40.8,2516,1685,3957,1724,1329
Madison,36053,Madison,655,1696033233,16681306,73442,57437,27931,29506,54145,26.2,70644,69740,39.5,38.7,40.3,2528,2039,3108,2214,1358
Monroe,36055,Monroe,657,1702154292,1837658838,744344,575645,273039,302606,52553,36.2,582035,566535,38.5,36.6,40,36490,39310,28034,16870,9537
Montgomery,36057,Montgomery,403,1043875858,18939233,50219,38418,18395,20023,43764,16.2,46382,45519,40.8,39.4,42.3,1732,1298,2039,865,793
Nassau,36059,Nassau,285,737411094,436460605,1339532,1027952,488149,539803,99465,42.8,1000818,977577,41.1,39.5,42.7,44731,74870,69692,22722,9902
New York,36061,NewYork,23,59126033,27873331,1585873,1351438,625506,725932,72871,59.9,956864,911073,36.4,36,36.8,98194,190806,11196,12181,3586
Niagara,36063,Niagara,522,1352903595,1598826734,216469,169979,81256,88723,49449,23.2,195911,191673,41.9,40.5,43.2,9294,8202,11450,3321,2406
Oneida,36065,Oneida,1212,3140175831,117138182,234878,183501,90691,92810,48246,23.2,208959,204679,40.8,39.3,42.4,7739,6586,11332,5398,3335
Onondaga,36067,Onondaga,778,2016019983,70521368,467026,359771,170183,189588,55092,34.1,390050,378885,38.6,37,39.9,19186,21786,15155,12055,6075
Ontario,36069,Ontario,644,1668121832,47814148,107931,83631,40296,43335,57416,31.7,102741,101078,42.1,41,43.2,4445,4040,5558,3380,2061
Orange,36071,Orange,812,2102256780,69822194,372813,271284,134042,137242,70848,29.2,297221,287802,36.6,34.8,38.2,12077,12855,16659,4372,3120
Orleans,36073,Orleans,391,1013357365,1103755920,42883,33343,16330,17013,46359,15.4,39297,38528,41,40,42,923,725,2643,799,702
Oswego,36075,Oswego,952,2464761256,933517775,122109,93886,46422,47464,47860,17.6,119116,117632,38.5,37.7,39.3,3273,2631,6423,3285,2026
Otsego,36077,Otsego,1002,2594391877,36393713,62259,50641,24217,26424,48588,27.7,59860,58935,40.9,40.1,41.7,2868,1995,2719,1516,1035
Putnam,36079,Putnam,230,596504166,41282767,99710,76060,37608,38452,96148,37.9,92223,90470,41.9,40.9,42.9,3832,3718,6027,1587,986
Queens,36081,Queens,109,281096933,180458283,2230722,1768821,843372,925449,57720,30.4,941608,886053,37.2,35.7,38.8,81762,133210,20951,5601,4495
Rensselaer,36083,Rensselaer,652,1689789426,33571435,159429,125460,61383,64077,60709,28.6,143012,139529,39.2,37.4,40.8,7003,5068,4758,2600,1576
Richmond,36085,Richmond,58,151178512,113754972,468730,359529,171187,188342,73197,30.8,350679,341677,38.4,36.7,39.9,15471,17612,21521,2690,2096
Rockland,36087,Rockland,174,449492975,66800379,311687,224107,107895,116212,84855,40.3,234099,228295,36.7,34.5,38.8,11790,17868,9219,3158,2367
Saratoga,36091,Saratoga,810,2097849013,87603331,219607,169751,82477,87274,44705,22.3,210587,207181,40.9,40,41.9,9694,7672,11673,8272,4404
Schenectady,36093,Schenectady,205,529693619,12614136,154727,119218,56607,62611,71496,39,127516,123211,39.8,38.3,41.2,7241,6526,4496,2946,2010
Schoharie,36095,Schoharie,622,1610503950,11676842,32749,26217,13099,13118,58114,30.5,31818,31402,42.5,41.7,43.2,1216,706,1497,638,640
Schuyler,36097,Schuyler,328,850379456,36246347,18343,14453,7121,7332,51195,19.6,18035,17803,44.2,43.1,45.3,876,548,979,461,405
Seneca,36099,Seneca,324,838393327,172838984,35251,27732,14597,13135,47680,19.5,33034,32591,41,39.2,43.3,1247,1125,1585,854,521
Steuben,36089,Steuben,1391,3601531651,35027245,98990,75792,37315,38477,49292,20.2,95643,94315,41.4,40.6,42.3,2926,2149,6252,2755,2401
St. Lawrence,36101,StLawrence,2680,6942144728,365348866,111944,88139,44719,43420,47280,21.3,106470,105064,37.5,35.7,39.2,4425,3142,3825,2036,1074
Suffolk,36103,Suffolk,912,2362201496,3784184893,1493350,1135680,551103,584577,88663,34,1234863,1206297,39.8,38.4,41.1,44033,53420,72359,18694,9099
Sullivan,36105,Sullivan,968,2507450206,74049483,77547,59971,30495,29476,50710,22.2,65476,63560,41.7,41,42.3,2958,2369,2742,687,534
Tioga,36107,Tioga,519,1343172320,11080489,51125,39148,19185,19963,57514,24.4,50101,49556,42.5,41.3,43.8,1936,1318,2926,1546,1429
Tompkins,36109,Tompkins,475,1229334487,43794640,101564,84905,41304,43601,52624,50.8,86872,83941,29.8,28.5,31.1,10130,6138,1821,1691,1342
Ulster,36111,Ulster,1124,2911755518,94599622,182493,145677,72064,73613,58918,30.1,162629,158184,42,41,43.1,12435,7642,6388,2197,1332
Warren,36113,Warren,867,2245395916,167449107,65707,52162,25159,27003,56798,28.2,64255,63391,44.1,43,45.2,2871,1868,3761,2772,1206
Washington,36115,Washington,831,2152756071,38083243,63216,49899,25774,24125,51143,19.4,60458,59815,41.7,40.2,43.4,2274,1292,2458,1839,1048
Wayne,36117,Wayne,604,1563902765,2018182309,93772,71473,35256,36217,50798,20.6,88857,87148,41.6,40.8,42.4,2436,1988,4472,2016,1627
Westchester,36119,Westchester,430,1114982482,179999078,949113,721113,339736,381377,83958,46.7,669460,646471,40,38.3,41.5,36753,74900,25880,13599,5245
Wyoming,36121,Wyoming,593,1535205959,9171431,42155,33451,18571,14880,52564,15.2,38955,38602,40.9,39.9,42.5,958,639,2752,724,749
Yates,36123,Yates,338,875785717,97504792,25348,19133,9109,10024,49510,23.7,24903,24647,40.7,40.1,41.4,720,637,1388,884,425

