"Intercept","Candidate_TS18","Candidate_TS19b4","Candidate_TS17","Perc_BachelorsDeg_and_higher","perc_Fem","MedianAge_Total","perc_white","Estimate_MedianIncome_2015","y","yhat","residual","CV_Score","Stud_residual","Intercept_SE","Candidate_TS18_SE","Candidate_TS19b4_SE","Candidate_TS17_SE","Perc_BachelorsDeg_and_higher_SE","perc_Fem_SE","MedianAge_Total_SE","perc_white_SE","Estimate_MedianIncome_2015_SE","Intercept_TV","Candidate_TS18_TV","Candidate_TS19b4_TV","Candidate_TS17_TV","Perc_BachelorsDeg_and_higher_TV","perc_Fem_TV","MedianAge_Total_TV","perc_white_TV","Estimate_MedianIncome_2015_TV","Local_R2","residual_ols","yhat_ols","Intercept_p_by","Candidate_TS18_p_by","Candidate_TS19b4_p_by","Candidate_TS17_p_by","Perc_BachelorsDeg_and_higher_p_by","perc_Fem_p_by","MedianAge_Total_p_by","perc_white_p_by","Estimate_MedianIncome_2015_p_by","Intercept_p","Candidate_TS18_p","Candidate_TS19b4_p","Candidate_TS17_p","Perc_BachelorsDeg_and_higher_p","perc_Fem_p","MedianAge_Total_p","perc_white_p","Estimate_MedianIncome_2015_p","Intercept_t","Candidate_TS18_t","Candidate_TS19b4_t","Candidate_TS17_t","Perc_BachelorsDeg_and_higher_t","perc_Fem_t","MedianAge_Total_t","perc_white_t","Estimate_MedianIncome_2015_t"
"9",1.75739058758757,0.0653304782935092,-0.0141190438231918,-0.0689187119681792,-0.0082161037364755,-1.87281896007154,0.00777365591995626,-0.658924183455237,0.00000480236790717141,0.58746627931106,0.597926302889344,-0.0104600235782836,-0.0338526831172128,-0.515451647441439,0.699494634160195,0.0566043614454285,0.0476947254980795,0.0553512141595703,0.00294634518699447,1.16884342135384,0.00672759251919817,0.232637179618841,0.00000172230011823674,2.51237179209741,1.15415979661732,-0.296029459772451,-1.24511653474295,-2.78857473073501,-1.60228386955569,1.1554885195221,-2.83241133053124,2.78834557132121,0.849780254431901,0.0409788571726008,0.546487422138459,0.669839737857562,1,1,1,0.489089332403934,1,1,0.4419844171929,0.489089332403934,0.016,0.255,0.769,0.221,0.008,0.117,0.255,0.007,0.008,2.51237179209741,1.15415979661732,-0.296029459772451,-1.24511653474295,-2.78857473073501,-1.60228386955569,1.1554885195221,-2.83241133053124,2.78834557132121
"35",1.66037122650269,0.0887163535664313,0.00506478603526685,-0.0171543863943673,-0.0103439092144181,-1.58370511527471,-0.00210039261046739,-0.353411598369056,0.0000061202045862939,0.63998408989211,0.625024339758695,0.0149597501334152,0.0184560734474493,0.427982756002114,0.588632834348393,0.0609200719201929,0.0526765596390085,0.0710833632138284,0.00151702709951785,0.919884683869186,0.00628410433620275,0.0984982995055415,0.000000814050831284819,2.82072478736374,1.45627460326462,0.0961487627509416,-0.24132772590915,-6.818539509087,-1.72163439944818,-0.334238977918782,-3.58799695165472,7.51820936861444,0.929587535225764,0.0380241700627605,0.601959919829349,0.4419844171929,1,1,1,0,1,1,0.0802412185975205,0,0.007,0.153,0.924,0.811,0,0.093,0.74,0.001,0,2.82072478736374,1.45627460326462,0.0961487627509416,-0.24132772590915,-6.818539509087,-1.72163439944818,-0.334238977918782,-3.58799695165472,7.51820936861444
"2",1.10015660304052,0.153955522149967,-0.0474438056517689,-0.0677437793561167,-0.00871894713335142,0.200508871904186,0.00541953674517771,-0.822611882689462,0.0000011782357461424,0.652325792153438,0.606945301838415,0.0453804903150228,0.0782528924844287,1.64336914850258,0.42322586695529,0.0606232202688161,0.0803844827712422,0.0452522131047586,0.00353788862135129,0.764423431912012,0.00653343518563569,0.224654803395523,0.00000390349571867942,2.59945501666783,2.53954708224499,-0.590210996154373,-1.49702687908965,-2.46444929914759,0.262300792379772,0.829507998654831,-3.66167057305775,0.301841178025169,0.828504052724526,0.109759163005978,0.54256662914746,0.63380405575763,0.66406525735879,1,1,0.679690322237821,1,1,0.0802412185975205,1,0.013,0.015,0.558,0.142,0.018,0.794,0.412,0.001,0.764,2.59945501666783,2.53954708224499,-0.590210996154373,-1.49702687908965,-2.46444929914759,0.262300792379772,0.829507998654831,-3.66167057305775,0.301841178025169
"57",0.722932766345585,0.0292880536278196,-0.0444225444888801,-0.00632537150070768,-0.0037799508599507,0.25492017273641,0.000182612214480522,-0.232445143584254,-0.000000280487393211289,0.497406639004149,0.50841743910931,-0.0110108001051608,-0.0176618323152027,-0.385853955725092,0.456950817054025,0.0599187359233973,0.0501013898639508,0.0454089242504662,0.00372193250261947,0.745032048881553,0.0035851970189541,0.270235109955444,0.00000297004600545664,1.58208003873667,0.488796253399983,-0.886652937363785,-0.139297981731922,-1.01558823468464,0.342160009249398,0.0509350569899212,-0.860158932059494,-0.0944387368734259,0.801698262019363,-0.0290649990035133,0.526471638007662,1,1,1,1,1,1,1,1,1,0.122,0.628,0.381,0.89,0.316,0.734,0.96,0.395,0.925,1.58208003873667,0.488796253399983,-0.886652937363785,-0.139297981731922,-1.01558823468464,0.342160009249398,0.0509350569899212,-0.860158932059494,-0.0944387368734259
"20",0.955225939715414,-0.00681452492298754,-0.0369115122254828,-0.0123854230867549,-0.000915838935590557,0.00830970034428263,-0.00213962865458221,-0.130105396485019,-0.00000323931649028788,0.549698795180723,0.553156128097392,-0.00345733291666939,-0.0363480816224196,-0.548193540664212,0.42784245648117,0.0587671970113422,0.0503237045241247,0.0445727677724109,0.00376013617351647,0.716778253643666,0.00336365840630639,0.266477009892117,0.00000308827720941469,2.23265813208852,-0.115957970935254,-0.73348161814653,-0.277869733151753,-0.243565363946398,0.0115931256313109,-0.636101647709145,-0.488242481171984,-1.04890729381829,0.799177689095766,-0.0732806005406223,0.622979395721345,0.850003529419252,1,1,1,1,1,1,1,1,0.031,0.908,0.468,0.783,0.809,0.991,0.528,0.628,0.301,2.23265813208852,-0.115957970935254,-0.73348161814653,-0.277869733151753,-0.243565363946398,0.0115931256313109,-0.636101647709145,-0.488242481171984,-1.04890729381829
"53",1.25240298374504,0.0390432019328907,-0.0467342493683842,-0.0281006585391842,-0.00508273111762064,-0.583377766944931,0.00298608705606615,-0.451606894547742,0.0000003353449774101,0.57180675049636,0.550085986332017,0.021720764164343,0.196281084761506,1.71045635552376,0.58071516269571,0.062071214303499,0.0474979811868825,0.0457241591201982,0.00392423506204503,0.915609043106128,0.00440591970491992,0.278431137141019,0.00000304381626951959,2.1566562476711,0.629006575286055,-0.983920752010631,-0.614569170431634,-1.29521576492207,-0.637147231492898,0.67774432038144,-1.62196979542203,0.110172542530968,0.782395984509098,0.0492317093281396,0.52257504116822,0.950056028194643,1,1,1,1,1,1,1,1,0.037,0.533,0.331,0.542,0.203,0.528,0.502,0.113,0.913,2.1566562476711,0.629006575286055,-0.983920752010631,-0.614569170431634,-1.29521576492207,-0.637147231492898,0.67774432038144,-1.62196979542203,0.110172542530968
"47",1.08769383724503,0.145672568379603,-0.0384849021502637,-0.0712995218468109,-0.00833801168737642,0.177894737318712,0.00563673948071093,-0.781960289645593,0.000000560034477913066,0.622450644477076,0.621394728215911,0.00105591626116508,0.0037314298370551,0.0669481702140258,0.41775457515881,0.0586524862028726,0.0797309808638741,0.0444859014342071,0.00336824061133154,0.736753010672886,0.00608017991757502,0.222396028119676,0.00000372391881870781,2.60366708570825,2.48365547328611,-0.48268441869503,-1.60274423015256,-2.47547982745811,0.24145776772088,0.927067875807046,-3.51607129073729,0.150388476542407,0.836904378565382,0.0113380936055172,0.611112550871559,0.63380405575763,0.679690322237821,1,1,0.679690322237821,1,1,0.0802412185975205,1,0.013,0.017,0.632,0.117,0.018,0.81,0.36,0.001,0.881,2.60366708570825,2.48365547328611,-0.48268441869503,-1.60274423015256,-2.47547982745811,0.24145776772088,0.927067875807046,-3.51607129073729,0.150388476542407
"36",1.77220821103354,0.0582314455776714,-0.0302987337907051,-0.0706489228815812,-0.00928466139060257,-1.9806416770293,0.00532339499057642,-0.509537771483121,0.00000562306771772317,0.635396975425331,0.656146511264369,-0.0207495358390375,-0.0528905500885004,-0.834086419828739,0.668007422971927,0.0589103139780882,0.0504262870187277,0.0601404574330808,0.0027565869506111,1.06361209597641,0.00582481915076683,0.13045427509604,0.00000141521564431741,2.65297682344469,0.988476238631671,-0.600851967931973,-1.17473205055338,-3.36817287353997,-1.86218423476186,0.91391592644994,-3.90587254505842,3.97329392188518,0.856957285799465,0.0573802728434372,0.578016702581894,0.596723428443533,1,1,1,0.154063139707239,1,1,0,0,0.011,0.329,0.551,0.247,0.002,0.07,0.366,0,0,2.65297682344469,0.988476238631671,-0.600851967931973,-1.17473205055338,-3.36817287353997,-1.86218423476186,0.91391592644994,-3.90587254505842,3.97329392188518
"37",0.969194009532071,-0.00576419957235351,-0.0430193425650677,-0.0158720458689441,-0.00163676927110426,-0.0784686980596647,-0.000696119477260239,-0.177551927432839,-0.00000250311774890387,0.513169845594914,0.518401902192081,-0.0052320565971673,-0.0196053320230231,-0.308936421113251,0.443982366370581,0.058614886074641,0.0448655585374954,0.0430914742019218,0.00378522705459794,0.733356804497994,0.00358851501242822,0.254834212755617,0.00000310903743833397,2.18295608777198,-0.0983401991946771,-0.958850039259296,-0.368333786738636,-0.432409799331871,-0.106999345446013,-0.19398538806424,-0.696735047907831,-0.805110198430165,0.786969092436304,-0.00839704890756631,0.52156689450248,0.910846265161044,1,1,1,1,1,1,1,1,0.035,0.922,0.344,0.715,0.668,0.915,0.847,0.49,0.426,2.18295608777198,-0.0983401991946771,-0.958850039259296,-0.368333786738636,-0.432409799331871,-0.106999345446013,-0.19398538806424,-0.696735047907831,-0.805110198430165
"3",1.13521870153191,0.0000931028134682251,-0.0359327067087804,-0.0272402297838762,-0.00163043542044573,-0.38491800416149,0.000377366590247113,-0.199892333150877,-0.00000315725253617643,0.589566929133858,0.550018301837428,0.0395486272964304,0.0826251913101297,1.66415461280115,0.452328613800942,0.0551200890299575,0.0440960989146444,0.0429313426219841,0.0038219681060191,0.781632617725203,0.00320755700335718,0.265944367572029,0.00000332928785966505,2.50972117813331,0.00168909040436463,-0.814872689267466,-0.634506822293677,-0.426595768258246,-0.49245386570704,0.117649223334813,-0.75163213635926,-0.948326690048986,0.787400702354036,0.0729266718845118,0.516640257249346,0.669839737857562,1,1,1,1,1,1,1,1,0.016,0.999,0.42,0.529,0.672,0.625,0.907,0.457,0.349,2.50972117813331,0.00168909040436463,-0.814872689267466,-0.634506822293677,-0.426595768258246,-0.49245386570704,0.117649223334813,-0.75163213635926,-0.948326690048986
