"Intercept","Candidate_TS18","Perc_BachelorsDeg_and_higher","perc_Fem","MedianAge_Total","perc_white","Estimate_MedianIncome_2015","y","yhat","residual","CV_Score","Stud_residual","Intercept_SE","Candidate_TS18_SE","Perc_BachelorsDeg_and_higher_SE","perc_Fem_SE","MedianAge_Total_SE","perc_white_SE","Estimate_MedianIncome_2015_SE","Intercept_TV","Candidate_TS18_TV","Perc_BachelorsDeg_and_higher_TV","perc_Fem_TV","MedianAge_Total_TV","perc_white_TV","Estimate_MedianIncome_2015_TV","Local_R2","residual_ols","yhat_ols","Intercept_p_by","Candidate_TS18_p_by","Perc_BachelorsDeg_and_higher_p_by","perc_Fem_p_by","MedianAge_Total_p_by","perc_white_p_by","Estimate_MedianIncome_2015_p_by","Intercept_p","Candidate_TS18_p","Perc_BachelorsDeg_and_higher_p","perc_Fem_p","MedianAge_Total_p","perc_white_p","Estimate_MedianIncome_2015_p","Intercept_t","Candidate_TS18_t","Perc_BachelorsDeg_and_higher_t","perc_Fem_t","MedianAge_Total_t","perc_white_t","Estimate_MedianIncome_2015_t"
"34",1.30500136958246,0.0441302592881171,-0.00985797078999568,-1.37219414941666,0.00799115600688754,-0.569150155882475,0.00000627903025194823,0.569168270258713,0.580494468119253,-0.0113261978605405,-0.0263806094087322,-0.580050746997802,0.666366239628162,0.0594432109709307,0.0026133282758382,1.03742412373159,0.00709621757389483,0.14051189389569,0.00000135762771944202,1.95838458189397,0.742393598315171,-3.77219000044449,-1.32269350406169,1.12611485254975,-4.05054789386717,4.62500150963984,0.85654289341606,0.0100396183784971,0.559128651880216,1,1,0.0656071075989694,1,1,0,0,0.058,0.463,0.001,0.194,0.267,0,0,1.95838458189397,0.742393598315171,-3.77219000044449,-1.32269350406169,1.12611485254975,-4.05054789386717,4.62500150963984
"54",0.822913119217897,0.0621201672010765,-0.0038270183805679,-0.201121820557788,0.00470366279436026,-0.215869000594015,-0.00000312507375124375,0.440041173443129,0.445482535120411,-0.00544136167728226,-0.0238782501513192,-0.34152929972889,0.469284994578191,0.0470896391921829,0.00262451856738723,0.876425962105881,0.00440616170069733,0.275614239125009,0.00000306459239049686,1.75354662673065,1.31918970429038,-1.45817919831971,-0.229479533073771,1.06751933176121,-0.783228766697007,-1.01973553185554,0.965346323634614,-0.0426042336202303,0.482645407063359,1,1,1,1,1,1,1,0.088,0.195,0.153,0.82,0.293,0.439,0.315,1.75354662673065,1.31918970429038,-1.45817919831971,-0.229479533073771,1.06751933176121,-0.783228766697007,-1.01973553185554
"9",1.68123489253426,0.0632438389896886,-0.00770126232891697,-1.60734855019628,0.00750588750133558,-0.7396305129764,0.00000390023040208955,0.58746627931106,0.583114859273047,0.00435142003801292,0.00897515607948418,0.183331426749982,0.73772323183336,0.0547198586510269,0.00299776937102272,1.17197411794106,0.00676160613768502,0.217797200998638,0.00000195678110875776,2.27895072296438,1.15577489688018,-2.5689976031377,-1.37148809482252,1.11007464032878,-3.39595967985384,1.99318686419942,0.867933768922436,0.0478912977637867,0.539574981547273,0.727953646054652,1,0.469929980011223,1,1,0.113204420955084,1,0.029,0.255,0.014,0.179,0.274,0.002,0.054,2.27895072296438,1.15577489688018,-2.5689976031377,-1.37148809482252,1.11007464032878,-3.39595967985384,1.99318686419942
"35",1.7444922290007,0.0578739665947545,-0.0101087344032779,-1.72724139296161,-0.00207779489396013,-0.332231475382487,0.00000579946819573965,0.63998408989211,0.631557414717109,0.00842667517500073,0.0111740047748157,0.268006714650914,0.684823133900703,0.0782812952909553,0.00156586989978977,1.09819309533783,0.00694873098513217,0.108358942100233,0.000000888505285296325,2.54736170938647,0.739307728361533,-6.45566684986736,-1.57280299821068,-0.299017892390118,-3.06602730649741,6.52721856776066,0.931107364404483,0.0357105324887442,0.604273557403366,0.475831769399119,1,0,1,1,0.199083636852045,0,0.015,0.464,0,0.124,0.767,0.004,0,2.54736170938647,0.739307728361533,-6.45566684986736,-1.57280299821068,-0.299017892390118,-3.06602730649741,6.52721856776066
"2",1.13605905498398,0.0672141520982592,-0.00930924421139447,0.110717718498389,0.0038206915041181,-0.831279525241515,0.00000291501024842871,0.652325792153438,0.600829936618395,0.0514958555350429,0.0899104883740693,2.01293144847755,0.38354141216466,0.0525892420168078,0.00388727484464299,0.794425552024781,0.0077539964785061,0.218438265272218,0.00000416900606661007,2.96202448797434,1.27809699323632,-2.39479959185892,0.139368274618306,0.492738359465208,-3.80555817088903,0.699209884047728,0.794935125413107,0.115941492490891,0.536384299662547,0.240559394529554,1,0.610650770728869,1,1,0.0656071075989694,1,0.005,0.209,0.022,0.89,0.625,0.001,0.489,2.96202448797434,1.27809699323632,-2.39479959185892,0.139368274618306,0.492738359465208,-3.80555817088903,0.699209884047728
"57",0.717193493440553,-0.000707328772228202,-0.00298328977827768,0.213271045427561,-0.000271324941907198,-0.179786899870235,-0.00000105283348356294,0.497406639004149,0.510233978534307,-0.0128273395301575,-0.0203324180345167,-0.480272138561859,0.437349743099262,0.0532795949364995,0.00373275965176692,0.723635171050051,0.00376293760942576,0.267511673038397,0.00000294488180037909,1.6398626151194,-0.0132757910992233,-0.799218287967061,0.294721779647731,-0.0721045550230644,-0.672071232736186,-0.357512985216388,0.791012500984256,-0.0349768790496554,0.532383518053804,1,1,1,1,1,1,1,0.11,0.989,0.429,0.77,0.943,0.506,0.723,1.6398626151194,-0.0132757910992233,-0.799218287967061,0.294721779647731,-0.0721045550230644,-0.672071232736186,-0.357512985216388
"20",1.05854607848706,-0.0448119014971677,0.00018437292549469,-0.0733945934565947,-0.00226217644211559,-0.157535817947066,-0.00000455036313497802,0.549698795180723,0.544891924724038,0.00480687045668471,0.0282278474449063,0.373757590087969,0.415340340464348,0.0516745170572591,0.00389069973772341,0.684362729435831,0.00339890613176123,0.278098123279882,0.00000315952128716605,2.5486233225109,-0.86719536144891,0.047388114715471,-0.107245164442399,-0.665560140357094,-0.566475660062329,-1.44020651275925,0.802313175986715,-0.0618107818529597,0.611509577033683,0.475831769399119,1,1,1,1,1,1,0.015,0.392,0.962,0.915,0.51,0.575,0.158,2.5486233225109,-0.86719536144891,0.047388114715471,-0.107245164442399,-0.665560140357094,-0.566475660062329,-1.44020651275925
"53",1.23027019210964,0.00339874212848465,-0.00375968001931813,-0.902394642408302,0.0000339332530047828,-0.16349508145097,0.000000034702155100299,0.57180675049636,0.557244439268567,0.0145623112277925,0.0414702079157753,0.777832994431109,0.685325250981562,0.0558298852089822,0.00388865345613079,1.06508511846019,0.00465588719099018,0.266468088246586,0.00000304603816662471,1.79516250181586,0.0608767529390843,-0.966833394061043,-0.84725119783188,0.00728824638845387,-0.613563457173433,0.0113925542629534,0.79058864325014,0.0280043890938652,0.543802361402495,1,1,1,1,1,1,1,0.081,0.952,0.34,0.402,0.994,0.543,0.991,1.79516250181586,0.0608767529390843,-0.966833394061043,-0.84725119783188,0.00728824638845387,-0.613563457173433,0.0113925542629534
"47",1.12196407681633,0.0712457546615286,-0.00938204052607999,0.104843501090958,0.00306672541878188,-0.782729209662963,0.00000290256623149776,0.622450644477076,0.587929160094367,0.0345214843827094,0.0422453474097305,1.04347286772447,0.378943177007603,0.0496312807311101,0.00374197530729862,0.760814335870059,0.00732560316808324,0.216530706642817,0.00000401035372819659,2.96077128417017,1.43550103104371,-2.50724276768491,0.137804318541211,0.418631114519448,-3.6148647080995,0.723768133242204,0.805490853589794,0.0424365145285291,0.580014129948547,0.240559394529554,1,0.505918726639475,1,1,0.0656071075989694,1,0.005,0.16,0.017,0.891,0.678,0.001,0.474,2.96077128417017,1.43550103104371,-2.50724276768491,0.137804318541211,0.418631114519448,-3.6148647080995,0.723768133242204
"36",1.614661590373,0.051731159935228,-0.0100853496366292,-1.69978307446903,0.00495319605576014,-0.541799104988084,0.00000579898287109646,0.635396975425331,0.666461964965741,-0.0310649895404095,-0.0789136375597583,-1.36078447309673,0.669847419691284,0.0566289759620762,0.0030123501351638,1.1055152651822,0.00648279310324132,0.200140934348208,0.00000140620759897349,2.41049161780328,0.91351042564979,-3.3480004594754,-1.53754826188573,0.764052774302422,-2.7070879165851,4.12384549431367,0.856835989700519,0.0473250708095599,0.588071904615771,0.594323210014194,1,0.113204420955084,1,1,0.400932324215924,0,0.021,0.367,0.002,0.133,0.45,0.01,0,2.41049161780328,0.91351042564979,-3.3480004594754,-1.53754826188573,0.764052774302422,-2.7070879165851,4.12384549431367
